id;filename;timestamp;pano_pos_x;pano_pos_y;pano_pos_z;pano_ori_w;pano_ori_x;pano_ori_y;pano_ori_z;angle_code_(additionalRotationis-90.00);angle_expected;angle_code_(additionalRotation(frommapping)is-95,5377179392511);angle_expected_(additionalRotation(frommapping)is-95,5377179392511);angle_correction;note;html
32;00032-pano.jpg;1705652940.999357;91.328316;-221.789139;5.036076;0.695048;-0.010658;-0.034137;-0.718074;-181,9379663;-181,9379663;-187,4756842;-187,4756842;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_033.html
35;00035-pano.jpg;1705652985.991797;100.029960;-216.839680;5.021093;0.674870;-0.018213;-0.016946;-0.737517;-185,1118739;-185,1118739;-190,6495919;-190,6495919;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_036.html
36;00036-pano.jpg;1705653031.387193;97.552602;-216.890844;5.026689;0.213449;0.038432;0.023147;0.975924;65,35091278;65,35091278;59,81319484;59,81319484;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_037.html
37;00037-pano.jpg;1705653046.114783;94.122982;-219.580196;5.040841;0.082720;0.027301;0.021063;0.995976;80,51014161;80,51014161;74,97242367;74,97242367;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_038.html
39;00039-pano.jpg;1705653072.348746;90.318977;-218.765851;5.033564;0.002951;0.018365;0.017245;0.999678;89,66183973;89,66183973;84,12412179;84,12412179;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_040.html
43;00043-pano.jpg;1705653113.770326;85.840989;-218.965935;5.031217;0.559543;0.010794;-0.016929;-0.828558;21,95159534;-158,0484047;16,4138774;-163,5861226;-180;wrong/thephotomayalsobeslightlytwistedwrong;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_044.html
49;00049-pano.jpg;1705653188.316720;87.771096;-213.211000;5.019596;0.697683;0.039133;-0.022170;0.714993;1,517159626;1,517159626;-4,020558313;-4,020558313;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_050.html
50;00050-pano.jpg;1705653200.488946;92.823562;-212.942992;5.017230;0.935246;-0.016453;-0.034677;-0.351912;-131,4642015;-131,4642015;-137,0019194;-137,0019194;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_051.html
51;00051-pano.jpg;1705653207.600090;90.816678;-214.338555;5.032459;-0.117460;0.029414;0.024230;0.992346;103,491071;103,491071;97,95335306;97,95335306;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_052.html
52;00052-pano.jpg;1705653339.407404;95.041449;-216.706369;3.799930;0.005358;-0.010413;0.000840;0.999931;-269,3860154;-269,3860154;-274,9237334;-274,9237334;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_053.html
53;00053-pano.jpg;1705653424.997448;94.174517;-211.672868;1.633496;0.696547;-0.017284;-0.032807;-0.716552;-181,6987304;-181,6987304;-187,2364484;-187,2364484;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_054.html
54;00054-pano.jpg;1705653437.456000;99.654371;-212.993675;1.534636;0.683089;-0.031598;-0.041416;-0.728475;-183,8290017;-183,8290017;-189,3667196;-189,3667196;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_055.html
56;00056-pano.jpg;1705653458.078256;99.535718;-216.546141;1.600072;-0.175104;0.028890;0.005071;0.984113;110,1694191;110,1694191;104,6317011;104,6317011;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_057.html
57;00057-pano.jpg;1705653466.893020;96.975124;-217.403793;1.607127;0.716547;-0.002190;-0.032065;-0.696797;-178,4596683;-178,4596683;-183,9973863;-183,9973863;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_058.html
58;00058-pano.jpg;1705653475.156694;98.254234;-218.774680;1.602408;0.968563;0.007224;-0.038620;0.245646;-61,19072658;-61,19072658;-66,72844452;-66,72844452;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_059.html
60;00060-pano.jpg;1705653537.929557;102.428357;-213.666545;1.512076;0.681251;-0.010760;-0.036033;-0.731084;-184,1170915;-184,1170915;-189,6548094;-189,6548094;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_061.html
61;00061-pano.jpg;1705653553.327045;102.449298;-218.750286;1.468546;0.703052;-0.018396;-0.030671;-0.710239;-180,6552739;-180,6552739;-186,1929918;-186,1929918;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_062.html
62;00062-pano.jpg;1705653566.786534;102.325009;-221.245996;1.427780;0.699817;-0.022314;-0.040660;-0.712815;-181,1753642;-181,1753642;-186,7130822;-186,7130822;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_063.html
63;00063-pano.jpg;1705653575.234205;102.548392;-223.845209;1.362746;0.001910;0.041145;0.022035;0.998908;89,78112991;89,78112991;84,24341197;84,24341197;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_064.html
64;00064-pano.jpg;1705653584.037899;99.456809;-223.845474;1.372554;0.012252;0.033187;0.008438;0.999338;88,59598848;88,59598848;83,05827054;83,05827054;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_065.html
67;00067-pano.jpg;1705653638.431038;100.528904;-221.873005;1.513506;0.703096;0.026888;-0.002669;0.710581;0,648113134;0,648113134;-4,889604805;-4,889604805;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_068.html
69;00069-pano.jpg;1705653656.983328;100.550815;-220.774746;1.514329;0.614023;0.011247;-0.024210;-0.788836;14,23803185;-165,7619682;8,700313911;-171,2996861;-180;wrong/thephotomayalsobeslightlytwistedwrong;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_070.html
70;00070-pano.jpg;1705653674.810703;98.773011;-220.619378;1.539713;0.651279;0.022795;0.019272;0.758251;8,72379181;8,72379181;3,18607387;3,18607387;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_071.html
71;00071-pano.jpg;1705653682.370480;96.950168;-221.101223;1.538623;0.686715;0.022309;-0.015400;-0.726421;3,258726046;-176,741274;-2,278991894;-182,2789919;-180;wrong;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_072.html
72;00072-pano.jpg;1705653725.743021;94.064150;-225.166319;1.290058;0.746063;0.034793;-0.010605;0.664881;-6,500983214;-6,500983214;-12,03870115;-12,03870115;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_073.html
74;00074-pano.jpg;1705653745.372354;93.156212;-218.970904;1.422721;0.643716;0.011998;0.020799;0.764888;9,861076314;9,861076314;4,323358374;4,323358374;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_075.html
75;00075-pano.jpg;1705653753.517078;91.417263;-218.191191;1.410006;0.045063;0.033830;-0.008805;0.998372;84,83440954;84,83440954;79,2966916;79,2966916;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_076.html
78;00078-pano.jpg;1705653785.528912;91.438426;-220.950752;1.384583;0.997754;0.039388;0.007425;-0.053678;-82,31757941;-82,31757941;-87,85529735;-87,85529735;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_079.html
79;00079-pano.jpg;1705653817.552758;90.113704;-224.819042;1.269566;0.028619;0.026960;0.003473;0.999221;86,72005724;86,72005724;81,18233931;81,18233931;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_080.html
80;00080-pano.jpg;1705653824.697542;86.833466;-224.811386;1.246089;0.615730;0.039177;-0.006208;0.786958;13,9900216;13,9900216;8,452303662;8,452303662;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_081.html
81;00081-pano.jpg;1705653845.882788;83.220632;-220.411146;1.375285;0.828743;0.020665;-0.032121;0.558324;-21,9397055;-21,9397055;-27,47742344;-27,47742344;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_082.html
83;00083-pano.jpg;1705653874.463790;86.261776;-218.182109;1.404998;-0.221164;0.020253;0.022519;0.974766;115,5548247;115,5548247;110,0171068;110,0171068;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_084.html
84;00084-pano.jpg;1705653933.430722;80.083709;-224.793103;1.257300;0.013192;0.042412;0.013969;0.998915;88,48826364;88,48826364;82,9505457;82,9505457;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_085.html
85;00085-pano.jpg;1705653943.404432;75.867821;-224.826638;1.266859;0.692667;0.040960;-0.024121;0.719689;2,316770382;2,316770382;-3,220947558;-3,220947558;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_086.html
88;00088-pano.jpg;1705653969.776485;75.082873;-217.865924;1.415241;0.569884;0.025179;0.016411;0.821175;20,51570419;20,51570419;14,97798625;14,97798625;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_089.html
90;00090-pano.jpg;1705653985.726033;72.867225;-220.818732;1.388851;0.735827;-0.006507;-0.021668;-0.676791;-175,2456693;-175,2456693;-180,7833872;-180,7833872;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_091.html
93;00093-pano.jpg;1705654078.650647;79.347486;-221.802489;1.297692;0.849997;0.014774;-0.007507;0.526527;-26,42266696;-26,42266696;-31,9603849;-31,9603849;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_094.html
95;00095-pano.jpg;1705654097.080060;79.993150;-218.246045;1.368680;0.460001;0.021441;0.034553;0.886987;35,22567032;35,22567032;29,68795238;29,68795238;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_096.html
99;00099-pano.jpg;1705654191.404712;73.792300;-223.744423;1.318953;0.031931;-0.041359;0.013165;0.998547;-266,3403541;-266,3403541;-271,878072;-271,878072;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_100.html
101;00101-pano.jpg;1705654218.649720;68.809022;-223.544938;3.876061;0.029667;-0.020388;0.017313;0.999202;-266,5999136;-266,5999136;-272,1376316;-272,1376316;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_102.html
102;00102-pano.jpg;1705654245.378786;66.312323;-223.545322;4.909385;0.999408;0.029711;-0.013729;-0.010611;-86,05650249;-86,05650249;-91,59422043;-91,59422043;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_103.html
104;00104-pano.jpg;1705654287.205313;66.519944;-221.572307;5.061300;0.999190;0.016623;-0.025712;0.026127;-85,3864612;-85,3864612;-90,92417914;-90,92417914;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_105.html
105;00105-pano.jpg;1705654295.239081;66.641461;-219.605750;5.060564;0.976899;-0.007978;-0.040399;-0.209697;-114,6787766;-114,6787766;-120,2164945;-120,2164945;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_106.html
106;00106-pano.jpg;1705654307.436706;69.214648;-221.276816;5.053007;0.951157;0.005160;-0.019247;-0.308064;-54,03725604;-144,037256;-59,57497398;-149,574974;-90;wrong/thephotomayalsobeslightlytwistedwrong;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_107.html
107;00107-pano.jpg;1705654327.614948;70.926882;-221.614891;5.039031;0.075887;0.010074;0.014208;0.996964;81,29561959;81,29561959;75,75790165;75,75790165;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_108.html
109;00109-pano.jpg;1705654343.546429;72.492879;-221.546802;5.062621;-0.003246;0.014503;0.021219;0.999664;90,371965;90,371965;84,83424706;84,83424706;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_110.html
112;00112-pano.jpg;1705654383.891058;70.935746;-223.483334;5.210525;0.976512;0.017516;-0.043544;-0.210290;-65,11449404;-155,114494;-70,65221198;-160,652212;-90;wrong/thephotomayalsobeslightlytwistedwrong;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_113.html
113;00113-pano.jpg;1705654402.575368;71.094624;-220.502263;5.040180;0.997915;0.022010;-0.010986;0.059664;-82,59954678;-82,59954678;-88,13726472;-88,13726472;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_114.html
114;00114-pano.jpg;1705654414.593091;73.682603;-220.897800;5.029592;0.713660;0.008384;-0.028137;-0.699877;-1,066954396;-1,066954396;-6,604672335;-6,604672335;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_115.html
118;00118-pano.jpg;1705654550.656294;76.243800;-217.319196;5.021224;0.751380;0.027645;0.018444;0.659032;-7,420151176;-7,420151176;-12,95786911;-12,95786911;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_119.html
119;00119-pano.jpg;1705654570.496713;72.735826;-216.846825;5.025579;0.817838;0.037206;0.002430;0.574240;-19,7378403;-19,7378403;-25,27555824;-25,27555824;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_120.html
120;00120-pano.jpg;1705654585.072163;75.875406;-219.747508;5.026774;0.724867;0.007655;-0.014372;-0.688696;-2,915599905;-2,915599905;-8,453317844;-8,453317844;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_121.html
121;00121-pano.jpg;1705654604.621538;71.103817;-218.935833;5.041410;0.708540;0.012739;0.000704;0.705555;-0,232523962;-0,232523962;-5,770241902;-5,770241902;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_122.html
122;00122-pano.jpg;1705654610.737289;70.985210;-218.029741;5.025726;0.728407;-0.007217;0.009773;0.685036;-176,4938934;-356,4938934;-182,0316113;-362,0316113;-180;wrong;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_123.html
126;00126-pano.jpg;1705654690.452625;68.497871;-216.903982;5.032042;0.751743;-0.020697;-0.052739;-0.657019;-172,5169064;-172,5169064;-178,0546244;-178,0546244;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_127.html
129;00129-pano.jpg;1705654770.704853;72.661860;-223.619296;1.646679;0.697288;-0.029687;-0.037878;-0.715174;-181,5803804;-181,5803804;-187,1180983;-187,1180983;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_130.html
130;00130-pano.jpg;1705654823.537137;82.998318;-216.871459;1.884314;0.675228;-0.009371;-0.027297;-0.737044;-185,0562653;-185,0562653;-190,5939832;-190,5939832;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_131.html
132;00132-pano.jpg;1705654849.485223;82.888302;-219.449256;3.522377;0.998400;0.010794;-0.031001;0.046037;-83,5173255;-83,5173255;-89,05504344;-89,05504344;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_133.html
133;00133-pano.jpg;1705654863.773685;83.039221;-221.494930;4.985785;0.670784;-0.027055;-0.020935;-0.740864;-185,7448397;-185,7448397;-191,2825576;-191,2825576;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_134.html
134;00134-pano.jpg;1705654884.139051;83.452984;-217.605285;4.988317;0.906887;-0.022265;-0.052433;-0.417506;-139,8427464;-139,8427464;-145,3804644;-145,3804644;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_135.html
135;00135-pano.jpg;1705654902.580340;79.551063;-221.429829;4.978568;-0.173869;0.024652;0.015117;0.984344;110,0256974;110,0256974;104,4879795;104,4879795;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_136.html
136;00136-pano.jpg;1705654917.970885;78.218991;-221.737112;4.990181;0.742354;0.039253;-0.012983;0.668731;-5,864658428;-5,864658428;-11,40237637;-11,40237637;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_137.html
137;00137-pano.jpg;1705654930.802394;77.607078;-217.052598;4.999881;0.691712;0.004354;0.008443;-0.722111;2,468438083;-177,5315619;-3,069279856;-183,0692799;-180;wrong;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_138.html
140;00140-pano.jpg;1705654966.777210;86.712019;-221.861258;4.984920;0.676261;-0.007600;-0.030026;-0.736011;-184,8957222;-184,8957222;-190,4334401;-190,4334401;;;http://www.plan-quadrat-bestandsaufnahmen.at/FOTODOKUMENTATION_360/WELS_BAHNHOFSTRASSE_13/A_141.html
